t;Експорт деревини та виробів з неї в Україні 2015-2019 рр.,млн.дол.США
1;74,7
2;85,6
3;94,4
4;91,2
5;92,5
6;97,5
7;106
8;91,1
9;96,5
10;96,2
11;68,8
12;92
13;105,2
14;107,5
15;98,6
16;96
17;97,1
18;97,8
19;99,6
20;92,3
21;93,4
22;82,4
23;65,8
24;81
25;103,2
26;87,7
27;105,4
28;109,4
29;109
30;108,1
31;114,4
32;116,3
33;110,7
34;95
35;110
36;116,7
37;136,6
38;126,7
39;143,3
40;133,9
41;132,2
42;135
43;118,6
44;125,4
45;123,9
46;92,2
47;114,7
48;122,7
49;129,7
50;120,7
51;135,7
52;115,3
53;127,8
54;111,1
55;108,6
56;114,9
57;108,8
58;114,9
59;108,8
60;88,2
